patch_Defects4J_Closure_26_0_1.patch,Closure26,Kali,1,succeeded,Node.java;(1), 1,;testCheckTreeEqualsImplDifferentChild
patch_Defects4J_Closure_76_0_1.patch,Closure76,Kali,1,succeeded,Node.java;(1), 1,;testCheckTreeEqualsImplDifferentChild
patch_Defects4J_Closure_45_0_2.patch,Closure45,RSRepair,1,succeeded,NodeUtil.java;(1), 9,;testConstantArrayInline;testIsLiteralOrConstValue;testUndefinedComparison1;testNullComparison1;testStringAdd;testFoldTypeof;testFoldInstanceOf;testFoldMixed;testRemoveUnusedVarsPossibleNpeCase
patch_Defects4J_Closure_45_0_1.patch,Closure45,RSRepair,1,succeeded,Node.java;(1), 1,;testCheckTreeEqualsImplDifferentChild
patch_Defects4J_Closure_45_0_97.patch,Closure45,Arja,2,succeeded;succeeded,NodeUtil.java;(1)Token.java;(1), 9,;testConstantArrayInline;testIsLiteralOrConstValue;testUndefinedComparison1;testNullComparison1;testStringAdd;testFoldTypeof;testFoldInstanceOf;testFoldMixed;testRemoveUnusedVarsPossibleNpeCase
patch_Defects4J_Closure_45_0_121.patch,Closure45,Arja,2,succeeded;succeeded,NodeUtil.java;(1)Token.java;(1), 11,;testConstantArrayInline;testIsLiteralOrConstValue;testUndefinedComparison1;testNullComparison1;testStringAdd;testFoldTypeof;testFoldInstanceOf;testFoldMixed;testRemoveUnusedVarsPossibleNpeCase;testArrayLiteral2;testArrayLiteral4
patch_Defects4J_Closure_45_0_9.patch,Closure45,Arja,2,succeeded;succeeded,NodeUtil.java;(1)RemoveUnusedVars.java;(1), 19,;testConstantArrayInline;testIsLiteralOrConstValue;testRemovingReturnCallToFunctionWithUnusedParams;testUndefinedComparison1;testNullComparison1;testStringAdd;testFoldTypeof;testFoldInstanceOf;testFoldMixed;testNestedAssign1;testNestedAssign2;testNestedAssign3;testUnusedAssign5b;testUnusedAssign6b;testUnusedPropAssign1b;testUnusedPropAssign2b;testUnusedPropAssign3b;testDependencies2b;testRemoveUnusedVarsPossibleNpeCase
patch_Defects4J_Closure_55_0_564.patch,Closure55,GenProg,2,succeeded;succeeded,FunctionRewriter.java;(3)Node.java;(1), 8,;testReplaceReturnConst1;testReplaceReturnConst3;testReplaceGetter1;testReplaceSetter1;testReplaceSetter2;testReplaceEmptyFunction1;testReplaceEmptyFunction3;testReplaceIdentityFunction1
patch_Defects4J_Closure_55_0_452.patch,Closure55,GenProg,2,succeeded;succeeded,FunctionRewriter.java;(4)Node.java;(1), 8,;testReplaceReturnConst1;testReplaceReturnConst3;testReplaceGetter1;testReplaceSetter1;testReplaceSetter2;testReplaceEmptyFunction1;testReplaceEmptyFunction3;testReplaceIdentityFunction1
patch_Defects4J_Closure_55_0_478.patch,Closure55,GenProg,2,succeeded;succeeded,AstValidator.java;(1)FunctionRewriter.java;(4), 9,;testReplaceReturnConst3;testReplaceGetter1;testReplaceSetter1;testReplaceSetter2;testReplaceEmptyFunction1;testReplaceEmptyFunction3;testReplaceIdentityFunction1;testReplaceReturnConst1;testUnnormalizeNodeTypes
patch_Defects4J_Closure_55_0_205.patch,Closure55,GenProg,3,succeeded;succeeded;succeeded,AstValidator.java;(1)FunctionRewriter.java;(3)Node.java;(1), 9,;testReplaceReturnConst1;testReplaceReturnConst3;testReplaceGetter1;testReplaceSetter1;testReplaceSetter2;testReplaceEmptyFunction1;testReplaceEmptyFunction3;testReplaceIdentityFunction1;testUnnormalizeNodeTypes
patch_Defects4J_Closure_55_0_229.patch,Closure55,GenProg,2,succeeded;succeeded,FunctionRewriter.java;(4)Node.java;(2), 8,;testReplaceReturnConst1;testReplaceReturnConst3;testReplaceGetter1;testReplaceSetter1;testReplaceSetter2;testReplaceEmptyFunction1;testReplaceEmptyFunction3;testReplaceIdentityFunction1
patch_Defects4J_Closure_55_0_356.patch,Closure55,GenProg,2,succeeded;succeeded,FunctionRewriter.java;(2)Node.java;(1), 1,;testReplaceGetter1
patch_Defects4J_Closure_55_0_185.patch,Closure55,GenProg,2,succeeded;succeeded,FunctionRewriter.java;(3)Node.java;(1), 8,;testReplaceEmptyFunction3;testReplaceIdentityFunction1;testReplaceReturnConst1;testReplaceReturnConst3;testReplaceGetter1;testReplaceSetter1;testReplaceSetter2;testReplaceEmptyFunction1
patch_Defects4J_Closure_55_0_519.patch,Closure55,GenProg,2,succeeded;succeeded,FunctionRewriter.java;(4)Node.java;(2), 8,;testReplaceReturnConst3;testReplaceGetter1;testReplaceSetter1;testReplaceSetter2;testReplaceEmptyFunction1;testReplaceEmptyFunction3;testReplaceIdentityFunction1;testReplaceReturnConst1
patch_Defects4J_Closure_55_0_216.patch,Closure55,GenProg,2,succeeded;succeeded,FunctionRewriter.java;(5)Node.java;(1), 8,;testReplaceReturnConst1;testReplaceReturnConst3;testReplaceGetter1;testReplaceSetter1;testReplaceSetter2;testReplaceEmptyFunction1;testReplaceEmptyFunction3;testReplaceIdentityFunction1
